context,question,true_answer,choices,ollama/phi3:mini,ollama/gemma:2b
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",What is the relation between the large yellow thing and the medium black thing?,"['left', 'far from']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['No'],"**A**
- ○ Red small circle
- ○ Green square
- ○ Red square
- □ Black triangle

**B**
- ○ Blue circle
- □ Blue square
- ○ Black triangle

**C**
- □ Blue triangle
- □ Medium black triangle"
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What is the relation between the small black thing and the large black thing?,"['right', 'far from']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['below'],"**A**
- Black square (large)
- Blue square (large)
- Triangle (blue)
- Yellow circle (large)

**B**
- Blue square (large)
- Green square (small)
- Yellow circle (large)

**C**
- Blue circle (small)
- Black triangle (small)"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.",Are there any triangles in B?,['Yes'],"['Yes', 'No', 'DK']",['Yes'],"Sure, here's the layout you requested:

```
   A
  / \
 B   C
```

**Objects:**

- Medium yellow circle in A
- Medium blue circle in A
- Medium yellow triangle in B
- Small blue triangle in B
- Medium blue triangle in B
- Large black square in B
- Large blue triangle in C"
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What is the relation between the small yellow thing and the small blue square in C?,"['below', 'far from']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['below'],"**A**
- Black square
- Triangle
- Blue circle

**B**
- Yellow square
- Blue circle

**C**
- Small yellow square
- Medium yellow square
- Medium blue circle"
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",What block does not have a circle inside of it?,['C'],"['A', 'B', 'C']",['C'],"**A**

|   |   |
| A | B | C |
|---|---|---|
| ○ | ○ | ○ |
| ○ | △ | ▭ |
| ○ | ■ | ○ |"
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Are all of the squares in B?,['No'],"['Yes', 'No', 'DK']",No,"Sure, here's the layout you requested:

```
   A
+---+
| O |
+---+
| O |
+---+
| O |
+---+
| O |
+---+
| B
+---+
| ◻️ |
+---+
| ◻️ |
+---+
| ◻️ |
+---+
```

The answer is no. The red triangle and the black circle are not touching any squares in B."
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What object is to the right of the large black square the medium blue triangle  or  the small black triangle?,[' the medium blue triangle '],"[' the medium blue triangle ', ' the small black triangle', 'both of them', 'none of them']",['the medium blue triangle'],"**A**
- ○ Red small square
- ○ Red small square
- ○ Red small square
- ○ Red small square
- ○ Red small square

**B**
- △ Black triangle
- ○ Green square
- ○ Red square

**C**
- ○ Blue triangle
- ○ Blue triangle"
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",What object is near the large thing? the white square or  the orange rectangle ?,[' the white square'],"[' the white square', ' the orange rectangle ', 'both of them', 'none of them']",none of them,"**A**
- Blue triangle
- Orange rectangle
- Black circle
- White square

**B**
- Yellow square
- Green square
- Purple square"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.",What is the relation between the large black thing in C and the medium black thing in C?,"['right', 'near to']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['left'],"**A**
- ○ Medium yellow circle
- ○ Medium blue circle
- □ Large black square

**B**
- ○ Medium yellow triangle
- ○ Small blue triangle
- □ Medium blue triangle

**C**
- □ Medium black triangle
- □ Large blue triangle"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block has all of the black objects inside of it?,['B'],"['A', 'B', 'C']",['B'],"**A**

* Block A contains the following objects:
    * Large yellow square
    * Small yellow square
    * Black triangle
    * Small blue circle
* Block B contains the following objects:
    * Small black square
* Block C contains the following objects:
    * Medium blue triangle"
"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",Is the red object below the blue object?,['No'],"['Yes', 'No', 'DK']",No,"Sure, here's the layout you requested:

```
      A
    +--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--o--"
"There are three blocks called A, B, and C. B is to the right of and touching the right edge of A and C is above and touching the top of B. In A, there is a blue square touching the left edge of A. A red triangle is next to the blue square and is above a yellow circle is touching the bottom edge of A. In B, there is a purple rectangle and an orange oval. The orange oval is touching the right edge of B and the rectangle is near and to the left of and the oval. In C, there is a small triangle a large triangle and a pink triangle. The small triangle is above the large triangle and is touching the top of C. The pink triangle is touching the bottom of C, with the large triangle to the right of the pink triangle.",Which block has the thing that is below and the red object?,['A'],"['A', 'B', 'C']",['A'],"A

|   |   |
| A | B | C |
|---|---|---|
| ○ | △ | ○ |
| ○ | ■ | ○ |
| ○ | ▭ | ❌ |
| ○ | ❌ | ❌ |"
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.",Is the large black thing to the left of the small blue thing in C?,['DK'],"['Yes', 'No', 'DK']",No,"Sure, here's the layout you requested:

```
   A
  / \
 B   C
```

The main components are:

- Block A
- Block B
- Block C

The objects within each block are:

- Small blue circle in Block A
- Small black square in Block B
- Small blue square in Block C
- Large yellow square in Block C
- Small black triangle in Block B

The objects are positioned as follows:

- The small blue circle is near and above the medium blue circle in Block A.
- The small black square is to the right of the small black triangle in Block B.
- The small blue square is far above the small black triangle in Block C."
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What is the relation between the black object above a small shape and the black thing to the right the large thing?,['left'],"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['above', 'far from']","**A**
- ○ Blue circle
- ○ Red square
- ○ Black circle

**B**
- △ Yellow square
- ○ Black square

**C**
- ○ Black square"
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.","What object is to the left of the small black square, the small black triangle or the large black triangle the small black triangle  or  the large black triangle ?",['both of them'],"[' the small black triangle ', ' the large black triangle ', 'both of them', 'none of them']",['the small black triangle'],"**A**
- Small blue circle
- Medium blue circle
- Large yellow square

**B**
- Small black square
- Small black triangle
- Large black triangle

**C**
- Large black triangle
- Small blue circle
- Small black triangle"
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",What is the relation between the medium blue thing and the large yellow thing?,"['right', 'near to']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['far from'],"**A**
- ○ Medium blue square
- ○ Large yellow square
- ○ Small blue circle

**B**
- □ Large black circle
- ○ Large blue circle
- □ Black square

**C**
- ○ Small blue circle"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is to the right of the small black thing? the medium yellow square or  the large black square?,[' the medium yellow square'],"[' the medium yellow square', ' the large black square', 'both of them', 'none of them']",['the large black square'],"**A**
- ○ Medium black triangle
- ○ Red square
- ○ Yellow square

**B**
- △ Small blue circle
- ○ Medium yellow square

**C**
- ○ Small yellow square
- ○ Black triangle"
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Which object is to the left of the yellow square? the white square or  the black square?,[' the white square'],"[' the white square', ' the black square', 'both of them', 'none of them']",['the white square'],"**A**
- ○ White square
- ○ Black square
- ○ Red circle

**B**
- △ Orange triangle

**C**
- □ White square
- □ Black square
- □ Yellow square"
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",where is the triangle in block A regarding to a circle in block B?,['below'],"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['DK'],"**A**
- ○ Blue triangle
- ○ Red square
- ○ Black circle

**B**
- △ Green square
- ○ Black square
- ○ Medium square

**C**
- ○ Medium blue triangle
- ○ Medium blue triangle
- ○ Square
- ○ Square"
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is B near C?,['No'],"['Yes', 'No', 'DK']",No,"Sure, here's the layout you requested:

```
   A
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| Yellow |
+---+
| Green |
+---+
| Blue |
+---+
| Purple |
+---+
| White |
+---+
```

The answer is: Yes. B is near C."
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",What is the relation between the yellow square and the black object?,"['above', 'far from']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['below'],"**
           A
+-------+
| Red ○  |
+-------+
| Black △ |
+-------+
| Yellow □ |
+-------+
| Red ○  |
+-------+
| Brown □ |
+-------+
| Green □ |
+-------+
| Red ○  |
+-------+
| Brown □ |
+-------+
| Red ○  |
+-------+
```"
"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",Which block does not have a red object?,"['B', 'C']","['A', 'B', 'C']",['C'],"**A**

- Pink triangle
- White triangle
- Red triangle
- Green triangle
- Brown oval
- Blue rectangle"
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is the blue thing above a black thing?,['Yes'],"['Yes', 'No', 'DK']",Yes,"**Main Components:**

- Block A
- Block B

**Objects within Block A:**

- Blue triangle
- Orange rectangle
- Black circle

**Objects within Block B:**

- Yellow square
- White square
- Green square
- Purple square

**Layout:**

```
   A
+---+
| B   |
+---+
|   |
|   |
+---+
|   |
| Green |
+---+
| Yellow |
+---+
| White |
+---+
| Purple |
+---+
```"
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Which block has a triangle above a square?,['B'],"['A', 'B', 'C']",['B'],"**A**

|   |   |
| A | ○ |   |
| B | △ | ▭ |
| C | ■ |"
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",Does A have any yellow things inside of it?,['No'],"['Yes', 'No', 'DK']",No,"Sure, here's the layout you requested:

```
   A
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| ○ |
+---+
| Yellow Triangle |
+---+
| Black Square |
+---+
| Yellow Circle |
+---+
```

The answer is: Yes. A has a yellow circle inside of it."
"There are three blocks names A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small square Which is below and to the left of a yellow circle. In B, there is a yellow circle above and to the right of a large blue square. In C, there is a small black square that is below a small yellow triangle. Near and to the right of the square is a large black triangle. The large triangle is also to the left of and near a large blue square. Far above the blue square is a small yellow circle. The small triangle is to the left and far from the small circle.","What is the object is above the large, black object in C? the small black square  or  the small yellow triangle?",[' the small yellow triangle'],"[' the small black square ', ' the small yellow triangle', 'both of them', 'none of them']","['the large, black object']","**A**
- Small square
- Yellow circle
- Black square
- Yellow triangle

**B**
- Yellow circle
- Large blue square
- Small black square

**C**
- Small black square
- Small yellow triangle"
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Is the object in block A to the right of the yellow triangle Which is to the right of a black shape?,['No'],"['Yes', 'No', 'DK']",No,"**Answer:** No

**Explanation:** The object in block A is to the right of the yellow triangle, which is to the right of a black shape. Therefore, the object is not touching a square."
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What block has all small objects?,['C'],"['A', 'B', 'C']",['C'],"**A**

|   |   |
| A | B | C |
|---|---|---|
| ○ | △ | ■ |"
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Is a circle below a rectangle?,['No'],"['Yes', 'No', 'DK']",No,"**A**
- ○ Red small circle
- ○ Green small circle
- ○ Big blue circle

**B**
- △ Orange triangle

**C**
- □ Small white square
- □ Small black square
-  vogli Yellow square"
"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",What object is not below the medium black thing in C? the large black triangle  or  the medium black triangle?,[' the medium black triangle'],"[' the large black triangle ', ' the medium black triangle', 'both of them', 'none of them']",['the large black triangle'],"**A**
- Blue circle
- Yellow circle
- Black triangle

**B**
- Three small blue circles
- Two small black triangles

**C**
- Large blue triangle
- Medium black triangle"
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",Is the small yellow thing to the left of the large blue thing?,['Yes'],"['Yes', 'No', 'DK']",Yes,"**A**
- Small yellow circle
- Medium blue triangle
- Large yellow square

**B**
- Large blue circle
- Small blue square
- Large black triangle

**C**
- Small blue triangle
- Medium black triangle"
