context,question,true_answer,choices,ollama/phi3:mini,ollama/gemma:2b
"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",Is A above C?,['Yes'],"['Yes', 'No', 'DK']",Yes,"Sure, here is the layout you requested:

```
   A
+---+
| O |
+---+
|   |
+---+
| O |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
|   |
+---+
```

The answer is: No."
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",What is the relation between the yellow triangle and the little triangle?,['right'],"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['left'],"**A**
- ○ Blue square
- ○ Blue square
- ○ Blue square
- △ Triangle
- ■ Black triangle

**B**
- ○ Red square
- ○ Red square
- ○ Red square
- ○ Black circle

**C**
- ○ Green square
- ○ Green square
- ○ Triangle"
"There is a block called A. In A, there is a medium black triangle that is near and below a medium blue triangle. The medium blue triangle is far below a large blue circle. The large circle is near and below a small blue triangle. There is a block called B, Which is to the right of A. In B, there is a small yellow circle far above a large yellow square. There is also a large blue triangle near and to the right of large yellow square. There is another block called C, Which is to the right of B. In C, there is a large black triangle that is far below a large blue triangle. The large blue triangle is far below a small blue triangle.",Is the medium black thing near and above a small blue thing?,['No'],"['Yes', 'No', 'DK']",['Yes'],"Sure, here is the layout you requested:

```
      A
     / \
   B   C
  / | \
 A ---> | ----> B ----> C
```

The medium black thing is near and above a small blue thing."
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What is the relation between the yellow thing in C and the black object in C?,"['left', 'far from']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['far from'],"**Block A**
- ○ Blue circle

**Block B**
- ❌ Red square
- ❌ Black circle

**Block C**
- ❌ Black square"
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is to the right of the medium yellow thing in B? the medium yellow circle or   the large blue triangle ?,[' the medium yellow circle'],"[' the medium yellow circle', '  the large blue triangle ', 'both of them', 'none of them']",['the small blue square'],"**A**
- Black square
- Black triangle
- Blue circle

**B**
- Yellow square
- Blue circle

**C**
- Blue square
- Yellow square
- Medium yellow circle"
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.","What object is not far from a large blue thing, the small yellow square or the large yellow square? the small yellow square  or  the large yellow square ?",[' the small yellow square '],"[' the small yellow square ', ' the large yellow square ', 'both of them', 'none of them']",['the small yellow square'],"**Main Components:**
- Block A
- Block B
- Block C

**Objects within Block A:**
- Black circle

**Objects within Block B:**
- Large blue square
- Large triangle
- Small yellow square

**Objects within Block C:**
- Small blue circle
- Small yellow square
- Large blue square

**The small yellow square is not far from the large blue thing, the small yellow square or the large yellow square.**"
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.","What object is not near the large blue thing in C, the small blue circle in C or the large black circle? the small blue circle  or  the large black circle ?",['both of them'],"[' the small blue circle ', ' the large black circle ', 'both of them', 'none of them']",['the large black circle'],"**A**
- ○ Red square
- ○ Green square
- ○ Black circle

**B**
- ○ Black circle
- ○ Blue circle

**C**
- ○ Small blue circle
- ○ Large black circle"
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",What is the relation between the large yellow thing and the small black thing?,"['above', 'near to']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",below,"**A**
- Black Triangle
- Yellow Circle
- Blue Square

**B**
- Black Triangle
- Blue Circle
- Blue Triangle

**C**
- Blue Circle"
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Is the orange triangle below the black square?,['No'],"['Yes', 'No', 'DK']",No,"**A**
- ○ Red small circle
- ○ Green small circle
- ○ Big blue circle

**B**
- △ Orange triangle

**C**
- □ Small white square
- □ Small black square
- □ Large yellow square"
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is the blue object to the left of the purple thing?,['Yes'],"['Yes', 'No', 'DK']",Yes,"Sure, here is the layout you requested:

```
      A
+-------+
| ○   ○   ○ |
| ○   □   □ |
| ○   □   □ |
+-------+
| ○   □   □ |
| ○   □   □ |
| ○   □   □ |
+-------+
| ○   □   □ |
| ○   □   □ |
| ○   □   □ |
+-------+
| ○   □   □ |
| ○   □   □ |
| ○   □   □ |
+-------+
```"
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Which block has a square below a circle?,['B'],"['A', 'B']",['A'],"**A**

|   ○ |   ■ |
|---|---|
| ○ | △ |
|   □ |   □ |
|   ○ |   ■ |"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square near and below a medium black triangle. Near and above the medium black triangle is a large blue circle. In B, there is a large yellow circle far above a medium black square. The medium black square is to the near and to the left of a small yellow square. In C, there is a large yellow circle far above a small black circle.",What is the relation between the medium black thing in A and the small black thing?,"['left', 'far from']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['far from'],"**A**
- Small blue square
- Medium black triangle
- Large blue circle

**B**
- Large yellow circle
- Medium black square
- Small yellow square

**C**
- Large yellow circle
- Small black circle"
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.",Is the small yellow thing to the left of the small blue thing?,['DK'],"['Yes', 'No', 'DK']",Yes,"**Answer: [No]**

**Explanation:** The small yellow thing is not to the left of the small blue thing."
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",Is the large yellow thing far to the left of the small blue thing in A?,['Yes'],"['Yes', 'No', 'DK']",No,"**Answer: [No]**

The large yellow thing is far to the left of the small blue thing in A."
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which object is below a blue triangle? a black circle  or  a blue triangle?,[' a blue triangle'],"[' a black circle ', ' a blue triangle', 'both of them', 'none of them']",['a black circle'],"**A**

* ○ Blue triangle
* ○ Red square
* ○ Black circle
* ○ Blue square
* ○ Medium square
* ○ Medium blue triangle
* ○ Medium blue triangle

**B**

* △ Green square
* ❌ Red triangle
* ❌ Black circle"
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.",Is the large black thing to the left of the large blue objects in B?,['Yes'],"['Yes', 'No', 'DK']",No,"**Answer: No**

The large black thing is far below the large blue objects in B, so it is not to the left of them."
"There is a block called A. Inside there's a red oval that is above a blue triangle. The blue triangle is touching the right edge of A and the top of a large black square. Touching the bottom edge of A is  a small orange square. The is a block called B Which is to the right and touching A. Inside B there are 5 triangles, a red one, a green one, a large yellow one, a brown one, and an orange one. The red and orange triangles are touching the left edge of B and the orange triangle is above the red triangle. The large yellow triangle is touching the top edge of B. The green triangle is touching the right edge of B. The brown triangle is below all of the other triangles and is touching the bottom of B.",What is the relation between blue triangles and orange triangles?,"['left', 'near to']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['No'],"**Block A**
- Red oval
- Blue triangle

**Block B**
- Red triangle
- Green triangle
- Yellow triangle
- Brown triangle
- Orange triangle

**Relation between blue triangles and orange triangles**
The red and orange triangles are touching the left edge of B and the orange triangle is above the red triangle."
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",Is the medium blue thing to the right of the small yellow thing?,['Yes'],"['Yes', 'No', 'DK']",No,"**Answer: ['No']**

The medium blue thing is not touching the small yellow thing."
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is the red thing to the left of the pink thing?,['Yes'],"['Yes', 'No', 'DK']",Yes,"**Answer:** No

**Explanation:** The red circle is touching the bottom of the green circle, which is touching the bottom of the yellow circle. Therefore, the red circle is not touching the pink or the blue rectangle."
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",Is the small blue thing in C to the right of the large blue thing in B?,['No'],"['Yes', 'No', 'DK']",No,"**A**
- ○ Red small square
- ○ Red square
- ○ Black circle
- ○ Blue square

**B**
- ○ Black circle
- ○ Blue circle
- ○ Black square

**C**
- ○ Blue circle"
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",Is the large black thing to the right of a small blue thing?,['DK'],"['Yes', 'No', 'DK']",Yes,"Sure, here's the layout you requested:

```
      A
    / \
 B   C
   / \
*   *
**   **
```

The main components are:

- Block A
- Block B
- Block C

The objects within each block are:

- Small black triangle in Block A
- Large black triangle in Block B
- Small blue circle in Block B
- Small blue triangle in Block C

The objects touching a square are:

- Red square in Block B

The objects not touching a square are:

- Green square in Block A and Block C
- Red triangle in Block B"
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",What is the relation between the purple objects and green objects?,['below'],"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['top', 'far from']","**A**
- Blue triangle
- Orange rectangle
- Black circle
- White square
- Green square
- Purple square

**B**
- Yellow square
- Green square
- Purple square"
"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",Are there any circles in A?,['Yes'],"['Yes', 'No', 'DK']",['Yes'],"**A**

```
    □
   □  □
 □  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□  □ □
□"
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.","What object is not near the large yellow square, the large yellow circle or the large blue triangle? the large yellow circle  or  the large blue triangle ?",[' the large blue triangle '],"[' the large yellow circle ', ' the large blue triangle ', 'both of them', 'none of them']",['the large yellow circle'],"**Answer:** ['the large yellow circle']

**Explanation:** The large yellow circle is not near the large yellow square, the large yellow circle or the large blue triangle."
"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",What object is below the white thing? they yellow circle  or  the red triangle ?,[' the red triangle '],"[' they yellow circle ', ' the red triangle ', 'both of them', 'none of them']",['they yellow circle'],"**Answer:** ['they yellow circle']

**Explanation:** The white thing is below the yellow circle, but not touching it."
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Which objects are not touching a square?the red triangle  or  the black circle?,['both of them'],"['the red triangle ', ' the black circle', 'both of them', 'none of them']",['both of them'],"**Block A**
- Red triangle △
- Black circle ■

**Block B**
- Brown square □
- Green square  gimnas
- Red square ❌"
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",What is to the left of a big triangle? a medium triangle  or  a little triangle?,['both of them'],"[' a medium triangle ', ' a little triangle', 'both of them', 'none of them']","['a little triangle', 'both of them']","**A**
- ○ Blue square
- ○ Blue square
- ○ Blue square
- △ Triangle
- ■ Black triangle

**B**
- ○ Red square
- ○ Red square
- ○ Red square
- ○ Green square
- □ Black circle

**C**
- ○ Medium triangle
- ○ Medium triangle
- □ Two medium triangles"
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Which block has only circles inside?,['A'],"['A', 'B', 'C']",['A'],"A. Block A has only circles inside.

**Block A:**
- ○ ○ ○
- ○ ○ ○
- ○ ○ ○

**Block B:**
- △ ▭

**Block C:**
- ○ ○ ○
- ○ ○ ○
- ○ ○ ○"
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",Is the medium blue thing far from the large blue thing?,['Yes'],"['Yes', 'No', 'DK']",Yes,"Sure, here's the layout you requested:

```
      A
+-------+
| ○      ○ |
+-------+
| ○      ○ |
+-------+
| ○      ○ |
+-------+
| ○      ○ |
+-------+
| ○      ○ |
+-------+
| ○      □ |
+-------+
| □      ○ |
+-------+
| ○      □ |
+-------+
| ○      □ |
+-------+
```

The medium blue thing is not far from the large blue thing."
"There are three blocks called A, B and C. B is to the left of A and C is to the left of B. In A, there is a large blue triangle that is near and to the right of a medium yellow circle. There is also a large black square near and to the left of the medium yellow circle. In B, there is a medium yellow triangle that is near and above a large black square. Near and below the black square is a medium blue circle. In C, there is a small blue triangle to the right of a small black triangle. Near and to the left of the of the small black triangle is a large blue triangle.",Is the large black thing near and above a medium blue thing?,['Yes'],"['Yes', 'No', 'DK']",['No'],"Sure, here's the layout you requested:

```
   A
  / \
 B  C
↓  ↓
○  ○  ○
△  ■  □
○  □  ○
---
```

The large black thing is near and above a medium blue thing."
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",What is the relation between the large blue thing and the small thing in A?,"['left', 'far from']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['far from'],"**A**
- ○ Blue triangle
- ○ Red square
- ○ Black circle

**B**
- ❌ Red square
- ○ Yellow square
- ❌ Black circle

**C**
- ○ Yellow circle
- ❌ Black triangle"
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.",What block does not have any blue objects inside of it?,['C'],"['A', 'B', 'C']",['B'],"**A**

|   |   |
| A | ○ |   |
| B | ❌ | ○ |
| C | ❌ | ❌ |"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",Is the small yellow thing in C below a small blue thing?,['Yes'],"['Yes', 'No', 'DK']",['No'],"**Answer: ['No']**

The small yellow thing in C is not below the small blue thing."
